Absurd,Alone,Divorced,Married,Single,Together,Widow,YOLO,Absurd,Alone,Divorced,Married,Single,Together,Widow,YOLO,Year_Birth,Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Z_CostContact,Z_Revenue,Join_year,Join_month,Join_weekday,Minorhome,Total_Mnt,Total_num_purchase,AOV
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1984,3,36108.0,1,0,68,141,8,129,3,11,47,3,7,1,4,9,0,3,11,2013,10,1,1,339,24,14.125
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1984,3,37235.0,1,0,68,20,2,9,4,6,20,1,1,1,2,4,0,3,11,2014,2,5,1,61,9,6.777777777777778
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1968,5,40706.0,2,1,37,59,0,11,4,2,5,4,3,0,4,7,0,3,11,2013,1,3,3,81,18,4.5
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1973,3,73926.0,0,0,54,627,91,597,159,91,15,1,6,5,12,3,0,3,11,2013,3,5,0,1580,27,58.51851851851852
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1976,4,49681.0,0,2,66,411,0,26,0,0,21,6,7,1,7,7,0,3,11,2013,11,0,2,458,28,16.357142857142858
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1975,4,34176.0,0,1,9,11,2,7,4,2,2,1,1,0,3,3,0,3,11,2014,1,2,1,28,8,3.5
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1993,3,70515.0,0,0,12,420,0,452,182,64,140,1,6,6,4,2,0,3,11,2013,10,0,0,1258,19,66.21052631578948
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1968,3,35893.0,1,1,80,158,0,23,0,0,18,6,3,1,5,8,0,3,11,2012,10,0,2,199,23,8.652173913043478
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1956,5,35340.0,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,3,11,2014,6,6,2,45,12,3.75
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1949,5,35946.0,1,1,24,8,0,3,0,0,0,1,0,0,3,5,0,3,11,2013,9,4,2,11,9,1.2222222222222223
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1970,5,57642.0,0,1,24,580,6,58,8,0,27,3,7,6,6,4,0,3,11,2014,1,3,1,679,26,26.115384615384617
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1969,3,30822.0,1,0,92,3,9,13,2,12,12,1,1,0,3,7,0,3,11,2013,6,4,1,51,12,4.25
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1971,3,22804.0,1,0,75,14,1,7,2,1,1,1,2,0,2,9,0,3,11,2013,7,2,1,26,14,1.8571428571428572
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1956,4,55284.0,0,1,60,547,7,140,0,7,63,3,7,5,8,5,0,3,11,2012,12,0,1,764,28,27.285714285714285
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1981,5,56937.0,1,0,81,746,8,125,11,8,8,7,8,6,9,6,0,3,11,2012,8,5,1,906,36,25.166666666666668
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1990,3,34412.0,1,0,62,52,12,50,4,36,55,3,5,0,3,9,0,3,11,2013,2,2,1,209,20,10.45
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1969,4,62772.0,0,1,74,581,49,157,43,8,108,1,5,6,11,2,0,3,11,2013,5,6,1,946,25,37.84
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1978,3,17345.0,1,0,79,4,9,16,17,0,12,2,2,1,2,8,0,3,11,2012,11,5,1,58,15,3.8666666666666667
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1966,3,86358.0,1,1,78,957,47,494,82,47,95,4,5,3,6,8,0,3,11,2012,8,2,2,1722,26,66.23076923076923
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1968,5,42564.0,0,1,28,324,48,186,39,18,198,6,6,8,4,7,0,3,11,2013,1,2,1,813,31,26.225806451612904
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1962,5,52597.0,0,1,69,492,0,37,7,0,42,3,6,3,8,5,0,3,11,2014,5,2,1,578,25,23.12
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1965,3,72190.0,0,0,79,597,166,597,172,166,249,1,5,6,4,3,0,3,11,2013,2,2,0,1947,19,102.47368421052632
